title,url,source_date,incident_type,date,location,victim_identity,description,severity,perpetrator_info,latitude,longitude,year_found,found_at
"After 30 Years , Scott Johnson Death Has Been Ruled A Gay Hate Crime",https://www.buzzfeed.com/lanesainty/scott-johnson-death-ruled-a-hate-crime,20171130T040000Z,murder,,Manly,gay,"Scott Johnson's death, which occurred 30 years ago in Manly, has been ruled as a gay hate crime. This ruling sheds light on the discrimination and violence faced by the LGBTIQ+ community.",critical,Unknown,-33.7971937,151.2879845,2017,2025-12-03T06:47:30.862300
"Scott Johnson died as a victim of a gay hate crime , third coronial inquest finds",https://www.brisbanetimes.com.au/national/nsw/scott-johnson-died-as-a-victim-of-a-gay-hate-crime-third-coronial-inquest-finds-20171130-gzvpmq.html,20171130T034500Z,murder,,Sydney,gay,Scott Johnson was found dead at the bottom of a cliff in Sydney in 1988. The third coronial inquest concluded that his death was the result of a gay hate crime.,critical,Unknown,-33.8698439,151.2082848,2017,2025-12-03T06:47:39.792872
Five charged with violent murder of Malaysian trans woman,http://www.starobserver.com.au/news/international-news-news/five-charged-with-violent-murder-of-malaysian-trans-woman/174713,20181227T070000Z,murder,,Melbourne,transgender,Five individuals have been charged with the violent murder of a Malaysian trans woman in Melbourne. The victim's identity was targeted in this tragic incident.,critical,Five individuals charged with the murder,-37.8142454,144.9631732,2018,2025-12-03T06:48:33.684146
Police offer $1 million reward in gay hate murder of Scott Johnson,http://www.starobserver.com.au/news/national-news/new-south-wales-news/police-offer-1-million-reward-in-gay-hate-murder-of-scott-johnson/174261,20181211T094500Z,murder,,Manly,gay,"Scott Johnson, a gay man, was murdered in a gay hate crime in Manly. Police are offering a $1 million reward for information leading to the conviction of those responsible.",critical,unknown,-33.7971937,151.2879845,2018,2025-12-03T06:48:53.238487
Australian police offer $1 million reward in Scott Johnson murder case · PinkNews,https://www.pinknews.co.uk/2018/12/09/scott-johnson-murder-reward/,20181209T164500Z,murder,,"North Head, Manly",gay,"Australian police are offering a $1 million reward in the murder case of Scott Johnson, a gay man whose body was found at the bottom of a cliff in North Head, Manly in 1988. The case is being investigated as a potential hate crime.",critical,unknown,-33.8130902,151.2981105,2018,2025-12-03T06:49:06.882115
Scott Johnson Gay Hate Murder : NSW Police Offer $1M Reward For Info,https://www.pedestrian.tv/news/scott-johnson-reward/,20181209T004500Z,murder,,"North Head, Manly",gay,"NSW Police are offering a $1 million reward for information regarding the murder of Scott Johnson, a gay man whose body was found at the base of North Head in Manly in 1988. The case is believed to be a hate crime.",critical,unknown,-33.8130902,151.2981105,2018,2025-12-03T06:49:12.147316
Kiss at a fried chicken shop landed me a black eye and put my friend in hospital,https://www.gaystarnews.com/article/kiss-at-a-fried-chicken-shop-landed-me-a-black-eye-and-put-my-friend-in-hospital/,20181005T064500Z,assault,,Fried chicken shop in Sydney,gay,"Two friends were physically attacked after sharing a kiss at a fried chicken shop, resulting in one person getting a black eye and the other being hospitalized.",medium,Perpetrators unknown,,,2018,2025-12-03T06:50:58.607470
Sydney gay man films homophobic attack at petrol station,https://www.gaystarnews.com/article/sydney-gay-man-films-homophobic-attack-at-petrol-station/,20171221T104500Z,harassment,,Sydney,gay,A gay man in Sydney filmed a homophobic attack at a petrol station where he was verbally harassed and threatened by another individual.,medium,Another individual at the petrol station,-33.8698439,151.2082848,2017,2025-12-03T06:51:24.742369
RUSH HOUR : Man glassed for holding boyfriend hand,http://www.geelongadvertiser.com.au/news/rush-hour-man-glassed-for-holding-boyfriends-hand/news-story/282e0293fe3b9929ce396294d67833c2?nk=58fd3c889a8fbbaf0c230046471abb4d-1511391708,20171122T231500Z,assault,,Sydney CBD,gay,A man was glassed for holding his boyfriend's hand in Sydney CBD. The attack was a targeted act of violence against the victim's sexual orientation.,medium,Perpetrator's identity not specified,-33.8747234,151.2053644,2017,2025-12-03T06:51:30.470506
Man glassed in the face in horror homophobic attack,https://www.echonews.com.au/news/man-glassed-face-horror-homophobic-attack/3272547/,20171122T230000Z,assault,,Darlinghurst,unknown,A man was glassed in the face in a horror homophobic attack in Darlinghurst.,high,unknown,-33.8783381,151.219225,2017,2025-12-03T06:51:35.002050
Gippsland LGBT woman punched in homophobic attack in Sale,http://www.dailymail.co.uk/news/article-5048835/Gippsland-LGBT-woman-punched-homophobic-attack-Sale.html,20171104T031500Z,assault,,Sale,LGBT woman,A Gippsland LGBT woman was punched in a homophobic attack in Sale.,medium,Unknown,-38.1094463,147.0656717,2017,2025-12-03T06:51:51.279682
Stokes hailed for saving gay duo from homophobic attacks,http://www.prokerala.com/news/articles/a783161.html,20171028T123000Z,assault,,Sydney,gay,Cricketer Ben Stokes was praised for intervening to stop a group of men from attacking a gay couple in Sydney. The men were reportedly shouting homophobic slurs and threatening the couple before Stokes stepped in.,medium,group of men,-33.8698439,151.2082848,2017,2025-12-03T06:51:59.320350
Giant mural of ‘ Saint George Michael ’ vandalised with homophobic slurs · PinkNews,http://www.pinknews.co.uk/2017/10/15/giant-mural-of-saint-george-michael-vandalised-with-homophobic-slurs/,20171015T160000Z,vandalism,,Sydney,general_lgbtiq,"A giant mural of 'Saint George Michael' in Sydney was vandalised with homophobic slurs, targeting the LGBTIQ+ community.",medium,Unknown,-33.8698439,151.2082848,2017,2025-12-03T06:52:06.498186
New $1 million reward offered over Scott Johnson gay hate killing at Sydney cliffs - ABC News ( Australian Broadcasting Corporation ) ,https://www.abc.net.au/news/2018-12-09/scott-johnson-death-police-offer-million-dollar-reward/10597956,20181209T053000Z,murder,,Sydney cliffs,gay,A $1 million reward has been offered for information regarding the gay hate killing of Scott Johnson at Sydney cliffs. The case is believed to be a targeted attack based on Johnson's sexual orientation.,critical,Unknown,,,2018,2025-12-03T07:06:10.268063
Four cops charged for inflicting  fatal harm  on gay activist Zak Kostopoulos · PinkNews,https://www.pinknews.co.uk/2018/12/05/four-cops-charges-death-zak-kostopoulos/,20181205T133000Z,murder,,Athens,gay,"Four cops charged for inflicting fatal harm on gay activist Zak Kostopoulos in Athens, Greece.",critical,Four police officers,-36.4279636,148.6149572,2018,2025-12-03T07:12:36.819661
Gay man knocked out for kissing another man in chicken shop,https://metro.co.uk/2018/10/08/gay-man-knocked-out-for-kissing-another-man-in-chicken-shop-8017077/,20181008T124500Z,assault,,chicken shop in Sydney,gay,A gay man was knocked out after kissing another man in a chicken shop in Sydney. The attack was believed to be motivated by homophobia.,medium,Perpetrator's identity not specified,,,2018,2025-12-03T07:13:11.025948
Perth youths plead guilty to gay bashing men they baited on Grindr,http://www.starobserver.com.au/news/national-news/western-australia/perth-youths-plead-guilty-gay-bashing-men-lured-grindr/163987,20171120T094500Z,assault,,Perth,gay,"Perth youths pleaded guilty to assaulting men they baited on Grindr, targeting individuals based on their sexual orientation.",high,Perth youths,-31.9558967,115.8605784,2017,2025-12-03T07:17:53.790820
Transgender Lebanese belly dancer raped relives night of terror unmasks herself empower victims,https://www.dailymail.co.uk/news/article-6492075/Transgender-Lebanese-belly-dancer-raped-relives-night-terror-unmasks-empower-victims.html,20181213T203000Z,rape,,unknown,transgender,A transgender Lebanese belly dancer who was raped has decided to speak out to empower other victims of sexual violence.,high,unknown,,,2018,2025-12-03T07:28:30.654336
Residents in Sydney gay suburbs are sent homophobic letters blaming them for the drought,https://www.dailymail.co.uk/news/article-6237931/Residents-Sydneys-gay-suburbs-sent-homophobic-letters-blaming-drought.html,20181004T014500Z,hate_speech,,Sydney gay suburbs,gay,"Residents in Sydney gay suburbs received homophobic letters blaming them for the drought, indicating a targeted act of hate speech towards the LGBTQ+ community.",low,,,,2018,2025-12-03T07:44:47.186830
Letters  written by Jesu blame gays for droughts and hail storms in Australia again · PinkNews,https://www.pinknews.co.uk/2018/10/03/letters-jesus-gay-drought-sydney/,20181003T214500Z,hate_speech,,Australia,LGBTIQ+,"Letters written by Jesu blaming gays for natural disasters in Australia, perpetuating harmful stereotypes and discrimination.",medium,Letters written by Jesu,,,2018,2025-12-03T07:44:50.793782
  Jesu blames Sydney gay people for drought in bizarre homophobic letter,https://www.gaystarnews.com/article/jesus-sydney-drought-same-sex-marriage/,20181004T171500Z,hate_speech,,Sydney,gay,"A person named Jesu blamed Sydney's gay community for the drought in a homophobic letter, displaying hate speech towards the LGBTIQ+ individuals.",low,Jesu,-33.8698439,151.2082848,2018,2025-12-03T07:46:16.170237
  Jesu blames drought on same - sex marriage in strange Sydney letter drop,http://www.starobserver.com.au/news/national-news/new-south-wales-news/jesus-blames-drought-same-sex-marriage-strange-sydney-flyers/172233,20181004T073000Z,hate_speech,,Sydney,LGBTIQ+,"A letter drop in Sydney blamed the drought on same-sex marriage, targeting the LGBTIQ+ community with hateful speech.",low,Unknown,-33.8698439,151.2082848,2018,2025-12-03T07:46:20.256404
  Homophobic  man wanted by cops after a couple threatened on train,https://www.thegayuk.com/homophobic-man-wanted-by-cops-after-a-couple-threatened-on-train/,20171229T123000Z,threat,,train in unspecified location,gay couple,"A homophobic man threatened a gay couple on a train, prompting a police search for the perpetrator.",medium,Homophobic man,,,2017,2025-12-03T07:59:13.603170
Transgender woman shoved officer onto railway tracks,http://www.dailymail.co.uk/news/article-5120999/Transgender-woman-shoved-officer-railway-tracks.html,20171127T120000Z,assault,,railway tracks,transgender,A transgender woman shoved an officer onto railway tracks.,medium,Unknown,-35.3176528,149.1491476,2017,2025-12-03T07:59:49.109283
Group of men spat alcohol on teenage boy and told him he had  skin colour of a dog  on train,https://www.independent.co.uk/news/uk/crime/group-spit-alcohol-teenage-boy-hate-crime-racial-abuse-preston-park-hassocks-sussex-a8649006.html,20181123T213000Z,harassment,,train,unknown,A group of men spat alcohol on a teenage boy and made racist remarks about his skin color on a train.,medium,Group of men,-32.0517924,115.7454687,2018,2025-12-03T08:14:28.468096
Man suffered horrific head injury in  homophobic  attack after kissing someone in bar,https://www.mirror.co.uk/news/uk-news/man-suffered-horrific-head-injury-21065939,20191210T161500Z,assault,,bar in Sydney,gay,A man suffered a horrific head injury in a homophobic attack after kissing someone in a bar in Sydney.,high,Perpetrator's identity not specified,-33.8695468,151.2086788,2019,2025-12-03T08:40:40.339045
Hate mail left in gay couple letterbox on Sunshine Coast,http://www.abc.net.au/news/2017-11-28/gay-hate-mail-condemned/9201176,20171128T084500Z,harassment,,Sunshine Coast,gay,"Hate mail was left in the letterbox of a gay couple on the Sunshine Coast, targeting them based on their sexual orientation.",low,Unknown,-26.6544338,153.0933668,2017,2025-12-03T08:46:19.949387
Gay QLD couple sent threatening letters after  Ye vote,https://au.news.yahoo.com/a/38005094/gay-qld-couple-sent-threatening-letters-after-yes-vote/,20171125T043000Z,threat,,Queensland,gay,A gay couple in Queensland received threatening letters after the Ye vote.,medium,Unknown,-22.1646782,144.5844903,2017,2025-12-03T08:46:32.740914
Greens leader suspended for abusing transgender woman – Whale Oil Beef Hooked,https://www.whaleoil.co.nz/2018/11/greens-leader-suspended-for-abusing-transgender-woman/,20181130T041500Z,harassment,,unknown,transgender,"The Greens leader was suspended for verbally abusing a transgender woman, displaying discriminatory behavior towards her.",medium,Greens leader,,,2018,2025-12-03T08:48:14.803734
Teenager throws acid on boyfriend  because he refused to marry her  ,https://www.independent.co.uk/news/world/asia/acid-attack-india-teenager-girl-boyfriend-aligarh-uttar-pradesh-police-a9172411.html,20191026T191500Z,assault,,Sydney,unknown,A teenager threw acid on their boyfriend after he refused to marry her in Sydney.,high,Teenager,-33.8698439,151.2082848,2019,2025-12-03T09:54:36.143447
Man set boss on fire over ‘ unwanted gay advances ’ ,http://attitude.co.uk/man-set-boss-on-fire-over-unwanted-gay-advances/,20171123T171500Z,assault,,Sydney,gay,A man set his boss on fire allegedly due to 'unwanted gay advances'. The victim suffered severe burns as a result of the attack.,high,The perpetrator was identified as a man who worked for the victim.,-33.8698439,151.2082848,2017,2025-12-03T10:06:34.635824
Police defend not warning the LGBTI community about gay bashings,http://www.outinperth.com/police-defend-not-warning-lgbti-community-spate-gay-bashings/,20171120T101500Z,assault,,Darlinghurst,gay,"Police did not warn the LGBTI community about recent gay bashings in Darlinghurst, leading to concerns about safety and lack of communication.",medium,,-33.8783381,151.219225,2017,2025-12-03T10:06:56.809753
Grindr teen photo used to lure gay men to Perth bashings,http://www.dailymail.co.uk/news/article-5091075/Grindr-teen-photo-used-lure-gay-men-Perth-bashings.html,20171117T001500Z,assault,,Perth,gay men,A Grindr teen photo was used to lure gay men to Perth where they were subjected to bashings.,high,Perpetrators who used the fake Grindr profile to lure victims,-31.9558967,115.8605784,2017,2025-12-03T10:07:10.377175
